Indicators,Country,2021
"Number of commercial bank branches per 1,000 km2",Brazil,3.49
"Number of commercial bank branches per 1,000 km2",Chile,2.33
"Number of commercial bank branches per 1,000 km2",China,10.83
"Number of commercial bank branches per 1,000 km2",Colombia,4.61
"Number of commercial bank branches per 1,000 km2",Egypt,4.7
"Number of commercial bank branches per 1,000 km2",Greece,12.02
"Number of commercial bank branches per 1,000 km2",Hungary,20.4
"Number of commercial bank branches per 1,000 km2",India,50.73
"Number of commercial bank branches per 1,000 km2",Indonesia,17.3
"Number of commercial bank branches per 1,000 km2",Korea,63.5
"Number of commercial bank branches per 1,000 km2",Malaysia,6.66
"Number of commercial bank branches per 1,000 km2",Mexico,5.98
"Number of commercial bank branches per 1,000 km2",Peru,1.05
"Number of commercial bank branches per 1,000 km2",Philippines,23.6
"Number of commercial bank branches per 1,000 km2",Poland,24.27
"Number of commercial bank branches per 1,000 km2",Saudi Arabia,0.92
"Number of commercial bank branches per 1,000 km2",South Africa,3.31
"Number of commercial bank branches per 1,000 km2",Thailand,11.06
"Number of commercial bank branches per 1,000 km2",Türkiye,12.68
"Number of commercial bank branches per 1,000 km2",United Arab Emirates,9.1
"Number of ATMs per 1,000 km2",Brazil,19.44
"Number of ATMs per 1,000 km2",Chile,10.21
"Number of ATMs per 1,000 km2","China,P.R.: Mainland",100.57
"Number of ATMs per 1,000 km2",Colombia,14.44
"Number of ATMs per 1,000 km2",Egypt,19.1
"Number of ATMs per 1,000 km2",Greece,45.88
"Number of ATMs per 1,000 km2",Hungary,53.9
"Number of ATMs per 1,000 km2",India,74.61
"Number of ATMs per 1,000 km2",Indonesia,52.65
"Number of ATMs per 1,000 km2",Korea,1201.66
"Number of ATMs per 1,000 km2",Malaysia,41.55
"Number of ATMs per 1,000 km2",Mexico,31.09
"Number of ATMs per 1,000 km2",Peru,23.02
"Number of ATMs per 1,000 km2",Philippines,77.09
"Number of ATMs per 1,000 km2",Poland,69.89
"Number of ATMs per 1,000 km2",Saudi Arabia,7.7
"Number of ATMs per 1,000 km2",South Africa,18.84
"Number of ATMs per 1,000 km2",Thailand,123.93
"Number of ATMs per 1,000 km2",Türkiye,67.87
"Number of ATMs per 1,000 km2",United Arab Emirates,61.9
